seed,value,datasetGroups,datasetSubGroups
seed.27847,0.874313876,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.34637,0.939119547,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.49081,0.929750826,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.75679,0.885137444,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.103333,0.882550813,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.145879,0.979082033,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.200437,0.880628289,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.310111,0.896878982,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.528401,0.944042125,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.1076753,0.956165546,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.1,0.908428963,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.691,0.88984169,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.1999,0.922440132,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.3511,0.858578214,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.8009,0.909960152,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.9902,0.913492866,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.10163,0.936287018,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.10509,0.912291784,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.14476,0.930247967,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.20897,0.949644541,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.27847,0.909073221,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.34637,0.922628055,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.49081,0.905638848,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.75679,0.874908719,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.103333,0.909408182,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.145879,0.936462874,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.200437,0.910161591,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.310111,0.877069475,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.528401,0.906924931,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.1076753,0.922061561,R^2 = 0.3,SBS1:SBS5 ratio = 10
seed.1,0.806265055,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.691,0.716078477,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.1999,0.858091725,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.3511,0.869784945,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.8009,0.806224162,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.9902,0.851109277,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.10163,0.893670057,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.10509,0.803887176,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.14476,0.76767106,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.20897,0.837862698,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.27847,0.747861116,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.34637,0.79182977,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.49081,0.777543476,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.75679,0.7154601,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.103333,0.811085648,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.145879,0.871426691,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.200437,0.83480455,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.310111,0.837589787,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.528401,0.709568018,R^2 = 0.6,SBS1:SBS5 ratio = 10
seed.1076753,0.846308745,R^2 = 0.6,SBS1:SBS5 ratio = 10
